date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:41:04	746/746	---M--	200	added ('OK')	application/x-javascript	etag:%22a2de7-2ea-4c837d6cd1afc%22	https://bostonliteraryhistory.com/sites/all/modules/panels/js/panels.js?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/modules/panels/js/panels063b.js	(from https://chapters.bc.edu/)
11:41:05	5493/5493	---M--	200	added ('OK')	application/x-javascript	etag:%22838d6-1575-52a72644f09a6%22	https://bostonliteraryhistory.com/sites/all/modules/google_analytics/googleanalytics.js?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/modules/google_analytics/googleanalytics063b.js	(from https://chapters.bc.edu/)
11:41:05	3214/3214	---M--	200	added ('OK')	application/x-javascript	etag:%2262bfc-c8e-4b6354157dac8%22	https://bostonliteraryhistory.com/sites/all/themes/adaptivetheme/adaptivetheme/js/respond.js?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/adaptivetheme/adaptivetheme/js/respond063b.js	(from https://chapters.bc.edu/)
11:41:06	1725/1725	---M--	200	added ('OK')	application/x-javascript	etag:%22a3291-6bd-4b82c731fd9e6%22	https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/js/mwheelIntent.js?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/forgottenchapters/js/mwheelIntent063b.js	(from https://chapters.bc.edu/)
11:41:06	2401/2401	---M--	200	added ('OK')	application/x-javascript	etag:%22a3290-961-4b82c71731c04%22	https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/js/jquery.mousewheel.js?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/forgottenchapters/js/jquery.mousewheel063b.js	(from https://chapters.bc.edu/)
11:41:06	14616/14616	---M--	200	added ('OK')	application/x-javascript	etag:%22a3292-3918-4b82c75238a28%22	https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/js/jquery.jscrollpane.min.js?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/forgottenchapters/js/jquery.jscrollpane.min063b.js	(from https://chapters.bc.edu/)
11:41:07	1763/1763	---M--	200	added ('OK')	application/x-javascript	etag:%2262d16-6e3-4db0976193842%22	https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/scripts.js?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/forgottenchapters/scripts063b.js	(from https://chapters.bc.edu/)
11:41:07	6235/6235	---M--	200	added ('OK')	application/x-javascript	etag:%22a2c1b-185b-4bb242b2ccdd6%22	https://bostonliteraryhistory.com/sites/all/modules/jplayer/theme/jplayer.js?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/modules/jplayer/theme/jplayer063b.js	(from https://chapters.bc.edu/)
11:41:08	17977/17977	---M-Z	404	error ('Not%20Found')	text/html	etag:%221472571667-1%22	https://chapters.bc.edu/node/about	C:/My%20Web%20Sites/testmirror/node/about.40.delayed	(from https://chapters.bc.edu/node/1)
11:41:08	17985/17985	---M-Z	404	error ('Not%20Found')	text/html	etag:%221472571668-1%22	https://chapters.bc.edu/node/chapter-4	C:/My%20Web%20Sites/testmirror/node/chapter-4	(from https://chapters.bc.edu/node/1)
11:41:08	320/320	---M--	200	added ('OK')	image/png	etag:%2228b92-140-52a72553bf332%22	https://bostonliteraryhistory.com/misc/throbber-inactive.png	C:/My%20Web%20Sites/testmirror/misc/throbber-inactive.png	(from https://bostonliteraryhistory.com/modules/system/system.base.css?o1vzsw)
11:41:09	1233/1233	---M--	200	added ('OK')	image/gif	etag:%2228b88-4d1-52a72553b4f22%22	https://bostonliteraryhistory.com/misc/throbber-active.gif	C:/My%20Web%20Sites/testmirror/misc/throbber-active.gif	(from https://bostonliteraryhistory.com/modules/system/system.base.css?o1vzsw)
11:41:09	106/106	---M--	200	added ('OK')	image/png	etag:%2226f4c-6a-52a725515d557%22	https://bostonliteraryhistory.com/misc/grippie.png	C:/My%20Web%20Sites/testmirror/misc/grippie.png	(from https://bostonliteraryhistory.com/modules/system/system.base.css?o1vzsw)
11:41:09	27809/27809	---MC-	200	added ('OK')	text/javascript	date:Mon,%2015%20Aug%202016%2004:25:11%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/testmirror/analytics.js	(from https://chapters.bc.edu/)
